"recipe_name_original","markup_recipe_name_original","recipe_name_interpreted","restriction","topic_sum","subtopic_sum","named_individuals_sum","date_of_recipe_YEAR","source_book","unique_recipe_code","costs_prices","discusses_durability","discusses_quality","illustration","swatch"
"Omnium Gatherum No 1","Om<em>niu</em>m Gath<em>eru</em>m No 1","cover with title",,"cover page",,,,"01","01COVER",,"no","no","no","no"
"[untitled]","[untitled]","[unrelated material]",,"unrelated material, quotation from publication",,,,"01","01F01L01",,"no","no","no","no"
"Country Memoranda : Appleton Quarries","Country Memoranda : Appleton Quarries","iron oxide pigment",,"pigment manufacture, notes","iron pigment",,,"01","01P001L01",,"no","no","no","no"
"Mr Smedley ...","Mr Smedley ...","[notes on people or companies]",,"notes on people or companies",,,,"01","01P001L12",,"no","no","no","no"
"Churt Stone ...","Churt Stone ...","[notes]",,"notes, notes on grinding",,,,"01","01P001L17",,"no","no","no","no"
"Mr Thomas Mankes ...","Mr Thomas Mankes ...","[unrelated material]",,"unrelated material",,,,"01","01P002L01",,"no","no","no","no"
"Potter - Machine paper stainer ...","Potter - Machine paper stainer ...","equipment design",,"equipment design, paper",,,,"01","01P002L11",,"no","no","no","no"
"Floor Plaster ...","Floor Plaster ...","[unrelated material]",,"unrelated material","alum, gypsum",,,"01","01P002L13",,"no","no","no","no"
"Halliday ...","Halliday ...","[notes on people or companies]",,"notes on people or companies, unrelated material",,,,"01","01P003L01",,"no","no","no","no"
"Spencer of Leicester ...","Spencer of Leicester ...","[notes on people or companies]",,"notes on people or companies, unrelated material",,,,"01","01P003L03",,"no","no","no","no"
"J Plant Fancy Box Maker ...","J Plant Fancy Box Maker ...","[notes on people or companies]",,"notes on people or companies, unrelated material",,,,"01","01P003L08",,"no","no","no","no"
"Hancock & Cheese ...","Hancock &amp; Cheese ...","[notes on people or companies]",,"notes on people or companies, marbelling, suppliers","lamp black","Hancock & Cheese",,"01","01P003L09",,"no","no","no","no"
"Cowan & Co  ... Machine Paper Maker","Cowan &amp; Co ... Machine Paper Maker","[notes on suppliers]",,"notes on people or companies, suppliers, paper",,,,"01","01P004L01",,"no","no","no","no"
"Mr Surand [?] Boot Maker ...","Mr Surand [?] Boot Maker ...","[unrelated material]",,"unrelated material",,,,"01","01P004L05",,"no","no","no","no"
"Fine prospects ... Scotland","Fine prospects ... Scotland","[unrelated material]",,"unrelated material",,,,"01","01P004L09",,"no","no","no","no"
"Town [?Iron] - Grantham ...Edinburgh ...","Town [?Iron] - Grantham ...Edinburgh ...","[unrelated material]",,"unrelated material",,,,"01","01P004L11",,"no","no","no","no"
"To Callender ... Edinburgh ...","To Callender ... Edinburgh ...","[unrelated material]",,"unrelated material",,,,"01","01P004L15",,"no","no","no","no"
"Rumbling [?] Bridge ...","Rumbling [?] Bridge ...","[unrelated material]",,"unrelated material",,,,"01","01P004L19",,"no","no","no","no"
"Divers Prices for Tubes ","Divers Prices for Tubes","notes on  tubes",,"tubes, suppliers, prices, W&N",,,"1843","01","01P005L01",,"no","no","no","no"
"Black Hall & Scott - Comb makers ...","Black Hall &amp; Scott - Comb makers ...","[unrelated material]",,"unrelated material",,,,"01","01P005L05",,"no","no","no","no"
"Rogers ... Whole Cakes Carmine","Rogers ... Whole Cakes Carmine","[notes on people or companies]",,"notes on people or companies, watercolour cakes, prices, not W&N",,,,"01","01P005L07",,"no","no","no","no"
"Prices Cut Tacks","Prices Cut Tacks","[unrelated material]",,"unrelated material",,,,"01","01P005L10",,"no","no","no","no"
"Smiths Edinburgh ... ","Smiths Edinburgh ...","[UNCLEAR]",,"UNCLEAR, suppliers, notes on people or companies",,,,"01","01P005L14",,"no","no","no","no"
"Smoke consuming apparatus ...","Smoke consuming apparatus ...","equipment design",,"equipment design",,,,"01","01P005L15",,"no","no","no","no"
"Mr Geddes ... water glasses","Mr Geddes ... water glasses","[unrelated material]",,"unrelated material",,,,"01","01P005L18",,"no","no","no","no"
"Dawson's prices ... Chinese Blue ...","Dawson's prices ... Chi<em>nese </em>Blue ...","prices, not W&N",,"suppliers, prices, not W&N, notes on people or companies","Chinese blue (Prussian blue), emerald green, patent dryers",,,"01","01P006L01",,"no","no","no","no"
"Mr Smith ... Mathematical Instrument makers","Mr Smith ... Math<em>ematical </em>Inst<em>rument </em>makers","[unrelated material]",,"suppliers, prices, not W&N, notes on people or companies, unrelated material",,,,"01","01P006L04",,"no","no","no","no"
"Harriman Tube Maker","Harriman Tube Maker","notes on  tubes",,"suppliers, tubes",,,,"01","01P006L07",,"no","no","no","no"
"T [?J] Aston Tube Maker","T [?J] Aston Tube Maker","notes on  tubes",,"suppliers, tubes",,,,"01","01P006L08",,"no","no","no","no"
"S Aston Tube Maker","S Aston Tube Maker","notes on  tubes",,"suppliers, tubes",,,,"01","01P006L09",,"no","no","no","no"
"[?] Lovbeday St ... Tube Maker","[?] Lovbeday St ... Tube Maker","notes on  tubes",,"suppliers, tubes",,,,"01","01P006L10",,"no","no","no","no"
"Bronze ... prices","Bronze ... prices","bronze ink",,"suppliers, ink, notes on people or companies, prices, not W&N",,,,"01","01P006L11",,"no","no","no","no"
"Lane Birm ... prices for Silver Leaf","Lane Birm ... prices for Silver Leaf","silver leaf",,"gilding, prices, not W&N, suppliers, metal leaf",,,,"01","01P006L16",,"no","no","no","no"
"Guardian Society ...","Guardian Society ...","[unrelated material]",,"unrelated material",,,,"01","01P006L17",,"no","no","no","no"
"Painters Diamond Setters ...","Painters Diamond Setters ...","[unrelated material]",,"unrelated material",,,,"01","01P006L19",,"no","no","no","no"
"Books used in Collegiate Institution Liverpool","Books used in Collegiate Institution Liverpool","[unrelated material]",,"unrelated material, prices, not W&N",,,,"01","01P007L01",,"no","no","no","no"
"Kay & Hilton French Burr Millstone Manufacturers","Kay &amp; Hilton French Burr Millstone Manuf<em>acturers</em>","equipment design",,"equipment design, suppliers",,,,"01","01P007L08",,"no","no","no","no"
"Advertisement - Andersons Hotel ... London","Advertisement - Andersons Hotel ... London","[unrelated material]",,"unrelated material, prices, W&N, quotation from publication",,,,"01","01P007L15","costs","no","no","no","no"
"Star Packets to Gravesend from London Bridge","Star Packets to Gravesend from London Bridge","[unrelated material]",,"unrelated material, prices, W&N",,,,"01","01P007L18",,"no","no","no","no"
"Lloyds Weekly London Newspaper","Lloyds Weekly London Newspaper","[unrelated material]",,"unrelated material, quotation from publication",,,,"01","01P008L01",,"no","no","no","no"
"Repertory of Patent Inventions","Repertory of Patent Inventions","[unrelated material]",,"unrelated material, quotation from publication",,,,"01","01P008L03",,"no","no","no","no"
"Newmans Boxes","Newmans Boxes","[notes on people or companies]",,"notes on people or companies, suppliers, prices, not W&N, pencils",,"Reeves, Newman",,"01","01P008L05",,"no","no","no","no"
"Metal Leaf","Metal Leaf","metal leaf",,"metal leaf, suppliers, prices, not W&N",,,,"01","01P008L10",,"no","no","no","no"
"Dial Varnish","Dial Varnish","varnish : dial",,"varnish manufacture, suppliers, prices, not W&N",,,,"01","01P008L13",,"no","no","no","no"
"Patent India Rubber Boots","Patent India Rubber Boots","[unrelated material]",,"unrelated material",,,,"01","01P008L15",,"no","no","no","no"
"Cut Playing Cards","Cut Playing Cards","[unrelated material]",,"unrelated material",,,,"01","01P009L01",,"no","no","no","no"
"Ivory Dust","Ivory Dust","ivory",,"miscellaneous materials, suppliers","ivory",,"1843","01","01P009L03",,"no","no","no","no"
"[S?] Harwood & Co","[S?] Harwood &amp; Co","palette knife",,"tools, equipment, prices, W&N",,,,"01","01P009L06",,"no","no","no","no"
"Naptha Spirit Varnish","Naptha Spirit Varnish","spirit varnish",,"varnish manufacture","spirit varnish",,,"01","01P010L01",,"no","no","no","no"
