"title","value","type"
"alizarin",,"p"
"amber",,"p"
"Antwerp blue",,"p"
"asphalt",,"p"
"barium chromate yellow",,"p"
"barytic white",,"p"
"bitumen",,"p"
"black lead",,"p"
"black-brown organic",,"p"
"blue black",,"p"
"blue ink",,"p"
"bone brown",,"p"
"bronze",,"p"
"brown lake",,"p"
"brown ochre",,"p"
"brown ochre",,"p"
"brunswick black",,"p"
"brunswick green ","Quaker green|brunswick green ","p"
"burnt ochre",,"p"
"burnt Sienna ",,"p"
"burnt Terre Verte",,"p"
"burnt umber",,"p"
"burnt white copperas",,"p"
"cadmium",,"p"
"cadmium orange",,"p"
"cadmium yellow ",,"p"
"Cappah brown",,"p"
"carmine","carmine|scarlet|scarlet","p"
"Cassel earth",,"p"
"Chinese white","Chinese white|zinc white","p"
"chrome",,"p"
"chrome blue",,"p"
"chrome brown",,"p"
"chrome green",,"p"
"chrome orange",,"p"
"chrome oxide",,"p"
"chrome red",,"p"
"chrome yellow",,"p"
"cobalt blue",,"p"
"cochineal",,"p"
"Cologne earth",,"p"
"copper green",,"p"
"cremnitz white",,"p"
"crimson lake",,"p"
"dragon's blood",,"p"
"Dutch pink","Dutch pink|English pink|Italian pink","p"
"Egyptian blue",,"p"
"Egyptian brown",,"p"
"emerald green",,"p"
"English umber",,"p"
"French Blue",,"p"
"gamboge",,"p"
"Garance brown",,"p"
"Garance purple",,"p"
"green colour",,"p"
"green ultramarine",,"p"
"Indian purple",,"p"
"Indian red",,"p"
"Indian yellow",,"p"
"indigo",,"p"
"iron oxide",,"p"
"Italian pink",,"p"
"ivory black",,"p"
"lamp black",,"p"
"lead white","Flake white|ead white|Cremnitz white","p"
"lemon chrome",,"p"
"lemon yellow",,"p"
"madder",,"p"
"madder brown",,"p"
"madder carmine",,"p"
"madder pink",,"p"
"madder purple",,"p"
"madder rose",,"p"
"madder yellow",,"p"
"malachite",,"p"
"Mars",,"p"
"Mars brown",,"p"
"Mars orange",,"p"
"Mars red",,"p"
"Mars yellow",,"p"
"mixed brown",,"p"
"mixed chrome green",,"p"
"mixed cochineal",,"p"
"mixed green",,"p"
"mixed red",,"p"
"mixed yellow",,"p"
"moist colours",,"p"
"Naples yellow",,"p"
"ochre",,"p"
"ochre de Savoie",,"p"
"orange lead",,"p"
"orange madder",,"p"
"orange orpiment",,"p"
"orange vermillion",,"p"
"orpiment",,"p"
"Oxford ochre",,"p"
"pale chrome",,"p"
"Paris white",,"p"
"Parisian Lake",,"p"
"pearl white",,"p"
"peat black",,"p"
"perfect yellow",,"p"
"permanent blue",,"p"
"permanent white",,"p"
"Persian red",,"p"
"pink madder",,"p"
"platina yellow",,"p"
"Prouts brown",,"p"
"Prussian black",,"p"
"Prussian blue","Prussian blue|Antwerp blue|Chinese blue","p"
"Prussian brown",,"p"
"Prussian green",,"p"
"purple cochineal lake",,"p"
"purple of Cassius",,"p"
"Quaker green","Quaker green|brunswick green","p"
"quercitron",,"p"
"quercitron yellow","pink|quercitron|Rhamnus","p"
"raw Sienna",,"p"
"raw umber ",,"p"
"realgar",,"p"
"red lead",,"p"
"red ochre",,"p"
"Rhamnus yellow","pink|quercitron|Rhamnus","p"
"Roman ochre",,"p"
"sap green",,"p"
"scarlet earth",,"p"
"scarlet lake",,"p"
"sepia",,"p"
"Sienna yellow",,"p"
"Sienna yellow",,"p"
"smalt",,"p"
"strontium chromate yellow",,"p"
"sumach",,"p"
"terre verte",,"p"
"turmeric",,"p"
"ultramarine",,"p"
"ultramarine : artificial",,"p"
"ultramarine",,"p"
"Vandyke brown","Cappah brown|Vandyke brown|cassel earth","p"
"verdigris",,"p"
"verditer",,"p"
"vermillion",,"p"
"Verona brown",,"p"
"violet lake",,"p"
"viridian",,"p"
"weld yellow",,"p"
"yellow lake",,"p"
"yellow ochre",,"p"
"zinc green",,"p"
"zinc white","Chinese white|zinc white","p"
"Adhesives",,"t"
"art theory",,"t"
"binder manufacture",,"t"
"brush",,"t"
"burning pigment",,"t"
"canvas and canvas preparation","canvas|canvas preparation","t"
"colour quality",,"t"
"conservation treatment",,"t"
"crayon manufacture",,"t"
"customers",,"t"
"drawing",,"t"
"dryers",,"t"
"drying oil",,"t"
"dye",,"t"
"equipment design",,"t"
"experiment",,"t"
"fixative",,"t"
"gilding",,"t"
"graining",,"t"
"grounds",,"t"
"gum",,"t"
"household recipe",,"t"
"illuminating",,"t"
"ink",,"t"
"Japanning",,"t"
"labour costs",,"t"
"marbelling",,"t"
"medicinal remedy",,"t"
"medium manufacture",,"t"
"mixed pigments",,"t"
"moist colours",,"t"
"oil paint manufacture",,"t"
"oil treatment",,"t"
"oil varnish",,"t"
"ormolu",,"t"
"other material manufacture",,"t"
"packaging",,"t"
"paint for special use",,"t"
"painting technique",,"t"
"panel",,"t"
"paper",,"t"
"paper support",,"t"
"patent",,"t"
"pencils",,"t"
"photography",,"t"
"physical properties",,"t"
"pigment manufacture",,"t"
"pigment properties",,"t"
"pigment selection",,"t"
"pigment test",,"t"
"plaster",,"t"
"powder colours",,"t"
"premises &#38; services (eg water, power)",,"t"
"preparing additives (misc.)",,"t"
"prices, not W&#38;N",,"t"
"prices, W&#38;N",,"t"
"printing",,"t"
"quality evaluation",,"t"
"spirit colours",,"t"
"spirit varnish",,"t"
"suppliers",,"t"
"tools, equipment",,"t"
"tubes",,"t"
"varnish",,"t"
"varnish manufacture",,"t"
"watercolour cakes",,"t"
"watercolour paint manufacture",,"t"
"waxes","waxes|waxesmanufacturer","t"
"acetic acid",,"m"
"acetic alumina",,"m"
"albumen",,"m"
"alkanet",,"m"
"alum",,"m"
"alumina",,"m"
"ammonium carbonate",,"m"
"ammonium sulphate",,"m"
"anime",,"m"
"antimony",,"m"
"arnatto",,"m"
"arsenic",,"m"
"asphaltum",,"m"
"aureolin",,"m"
"barium",,"m"
"barytes",,"m"
"beeswax",,"m"
"benzoic acid",,"m"
"bichromate of potash",,"m"
"bistre",,"m"
"boracic tartar",,"m"
"borax",,"m"
"brazil",,"m"
"calcium chloride",,"m"
"carbolic acid",,"m"
"carmine",,"m"
"clay",,"m"
"copal",,"m"
"cream of tartar",,"m"
"creosote",,"m"
"dryers",,"m"
"drying oil",,"m"
"egg white",,"m"
"fixative",,"m"
"flax",,"m"
"fuchsin",,"m"
"fustic",,"m"
"gelatine",,"m"
"glue",,"m"
